id,rating,comment,Вопрос решен,Нравится качество выполнения заявки,Нравится качество работы сотрудников,Нравится скорость отработки заявок,Понравилось выполнение заявки,Другое
2945792,5,спасибо,1,0,0,0,0,0
3380332,5,отлично,1,0,0,0,0,0
3381812,5,благодарить оперативный решение проблема,0,0,0,1,0,0
3461991,5,прекрасный специалист,0,0,1,0,0,0
3572768,1,пересчёт скорость,0,0,0,0,0,1
3584536,5,спасибо обновление покраска стена,0,0,1,0,0,0
3596020,5,выполнить быстро,0,0,0,1,0,0
3627490,5,спасибо управлять компания прислать грамотный специалист быстро отреагировать заявка,0,0,1,1,0,0
3695420,5,решить вопрос спасибо,1,0,0,0,0,0
3716702,5,очень радовать работа ук оперативно спасибо,0,1,0,1,0,0
3726842,5,всё исправить,1,0,0,0,0,0
3745025,5,спасибо оперативный работа,0,0,0,1,1,0
3749719,5,выполнить отлично обработка заявка слишком дорога,0,0,0,0,1,0
3751364,5,спасибо скрипеть,1,0,0,0,0,0
3773834,1,норма,0,0,0,0,0,1
3791959,5,спасибо всё пройти очень,1,0,0,0,1,0
3797804,5,спасибо прислать всё поменять минута,0,0,1,0,0,0
3799741,5,всё очень оперативно,0,0,0,1,0,0
3805876,5,всё отлично спасибо,1,0,0,0,0,0
3812092,5,хороший мастер,0,0,1,0,0,0
3815412,5,спасибо оперативность,0,0,0,1,0,0
3820641,5,выполнить,1,0,0,0,0,0
3828569,5,всё супер мастер,0,0,1,0,0,0
3829748,5,благодарить ребята,0,0,1,0,0,0
3834081,5,проблема решить ручка окно поставить спасибо обратный связь,0,1,1,0,0,0
3835748,5,благодарить проделать работа,0,0,0,0,1,0
3835874,5,надеяться причина устранить первый дождь самый,0,0,0,0,0,1
3839647,5,спасибо всё чётко,1,0,0,0,0,0
3840353,5,благодарить,1,0,0,0,0,0
3841026,5,спасибо сергей,1,0,1,0,0,0
3842440,5,михаил отличный мастер свой дело сделать быстро чисто дать рекомендация,0,0,1,0,0,0
3842790,5,сделать,1,0,0,0,0,0
3844645,5,профессионально быстро очень приятный мастер,0,0,1,0,0,0
3846831,5,спасибо вопрос решить всё стать нормально,1,0,0,0,0,0
3848236,5,татьяна владимирович спасибо,0,0,0,0,1,0
3850118,1,спасибо быстрый ответ,0,0,0,1,0,0
3852179,5,спасибо весь подъезд,1,0,0,0,1,0
3854073,5,всё отлично,1,0,0,0,0,0
3856028,1,свершиться,0,0,0,0,0,1
3859764,5,спасибо мастер,0,0,1,0,0,0
3859780,5,спасибо среагировать оперативно быстро всё время связь,0,0,0,1,1,0
3860248,5,среагировать быстро благодарить,0,0,0,1,1,0
3862448,5,отличный мастер,0,0,1,0,0,0
3863351,5,спасибо крайний мера ночь пока шум слышный,0,0,0,0,1,0
3863609,5,быстро,0,0,0,1,0,0
3866829,5,спасибо своевременный выполнение заявка,0,0,0,1,0,0
3866867,5,всё сделать быстро спасибо,0,0,0,1,0,0
3872124,5,спасибо александр оперативность профессионализм,0,0,1,0,0,0
3873692,5,оперативно качественно спасибо,0,1,0,1,0,0
3875262,5,благодарить весь добрый,1,0,0,0,0,0
3877334,3,мастер вопрос,0,0,1,0,0,0
3877901,5,мастер быстро решить проблема всё исправить очень довольный спасибо,0,0,1,0,0,0
3878088,5,вытяжка заработать спасибо отдельный спасибо мастер который сообщить причина препятствовать подключение вытяжка домовой вентиляция,0,0,1,0,1,0
3878555,5,спасибо надолго,1,0,0,0,0,0
3879856,5,всё очень чётко организовать спасибо работа,0,0,0,0,1,0
3880345,5,спасибо дверь номер квартира,0,0,0,0,1,0
3880717,3,снимать звезда первый отписка выполнение работа,0,0,0,0,0,1
3881004,5,день создание заявка рабочий оперативно прислать весь ужас убрать благодарность,0,0,1,0,1,0
3881460,5,спасибо всё заработать,0,0,0,0,1,0
3881636,5,спасибо решить вопрос место офис,1,0,0,0,1,0
3882840,5,спасибо ольга птушкина проделать работа,0,0,1,0,0,0
3883200,5,всё сделать починить вовремя наверное молодец,0,0,1,0,1,0
3883549,5,супер спасибо,1,0,0,0,1,0
3883658,5,отлично всё выполнить обещать,0,0,0,0,1,0
3883736,5,очень оперативно спасибо,0,0,0,1,1,0
3883745,5,мастер андрей помочь подобрать оборудование кран переходник подключение быстро качественно произвести подключение стиральный машинка спасибо,1,0,1,0,0,0
3884964,5,умело подкрутить редуктор давление молодец,0,0,1,0,1,0
3885089,5,всё дверь практически бесшумно закрываться,0,0,0,0,1,0
3886150,5,проблема таковой процесс поиск страх компания весь лишь спасибо сотрудник,1,0,1,0,0,0
3886231,5,быстро чётко проблема слово мастер,1,0,1,0,0,0
3886721,5,работать спасибо,1,0,0,0,0,0
3886923,5,сегодня ездить всё исправно работать спасибо,1,0,0,0,0,0
3886937,5,спасибо всё понятно,1,0,0,0,0,0
3887002,5,татьяна спасибо,0,0,1,0,0,0
3887203,5,вопрос ответить крепление повесить колясочный,1,0,0,0,1,0
3887353,5,хороший,1,0,0,0,0,0
3887392,5,спасибо быстро отреагировать,0,0,0,1,0,0
3887422,5,сервис высота мастер профессионал,0,1,1,0,0,0
3887606,1,около,0,0,0,0,0,1
3887614,2,надолго,0,0,0,0,0,1
3887743,5,спасибо всё работать,1,0,0,0,0,0
3887844,5,заявка выполнить спасибо,0,1,0,0,0,0
3887922,5,дверь закрываться намного хороший,1,0,0,0,1,0
3888009,5,спасибо быстрый реагирование,0,0,0,1,1,0
3888318,5,оперативно сработать благодарить,0,0,0,1,0,0
3888354,5,спасибо сантехник алексей всё сделать качественно,0,0,1,0,0,0
3888539,5,человеческий спасибо оперативность выполнение работа наш дежурный сантехник прибыть воскресение минута написание заявка всё решиться хороший образ всё вопрос оперативно решаться,0,0,1,1,0,0
3888591,5,очень оперативно никуда прийтись ходить,0,0,0,1,0,0
3888606,5,проблема решить,1,0,0,0,0,0
3888633,5,очень оперативно отреагировать спасибо,0,0,0,1,0,0
3888794,5,оперативно качественно вопрос возникнуть спасибо,0,0,0,1,0,0
